# GA4 affiliate_click by page path — window 2026-08-19 → 2026-09-15 (28 days), exported BEFORE the Sep-16/17 zero-converter fixes shipped. Re-export monthly (see scripts/ctr_report.mjs header).
page path,active users,event count
/blog/how-to-get-rid-of-ground-wasps-canada,58,67
/blog/best-wasp-nest-spray-canada,32,42
/blog/raccoon-deterrent,28,44
/blog/best-bed-bug-steamer-canada,25,43
/blog/advion-cockroach-gel-bait,21,32
/blog/wasp-dust-canada,20,29
/blog/best-wasp-trap,18,21
/blog/laser-mosquito-killer-photon-matrix-review,18,29
/blog/electric-fly-swatter,17,31
/blog/best-rat-trap-canada,16,18
/blog/mosquito-bits-canada-vs-dunks,15,16
/blog/bed-bug-spray-canada,14,20
/blog/best-dehumidifier-for-cold-garage-canada,13,24
/blog/mosquito-repellent-guide-ontario-2026,13,14
/blog/motion-activated-sprinkler-canada,11,13
/blog/bed-bug-mattress-encasement-canada,10,14
/blog/best-bed-bug-trap-canada,9,13
/blog/best-fruit-fly-trap-canada,9,14
/blog/best-indoor-fly-mosquito-trap-canada,9,20
/blog/best-mosquito-trap,9,9
/blog/best-steam-cleaner-for-pest-control-canada,9,11
/blog/best-bed-bug-powder-canada,8,8
/blog/best-hepa-vacuum-for-bed-bugs-and-fleas-canada,8,9
/blog/best-roach-traps-canada,8,12
/blog/best-spider-spray-canada,8,9
/blog/best-cockroach-spray-canada,7,11
/blog/best-rodent-repellent-for-cars-canada,7,9
/blog/tick-removal-tool-guide,7,10
/blog/best-flea-spray-for-home-canada,6,7
/blog/best-screen-tent-canada,6,7
/blog/no-see-um-bites,6,7
/blog/advion-cockroach-gel-bait-canada,5,5
/blog/best-electric-fence-for-raccoons-canada,5,5
/blog/best-natural-bed-bug-spray-canada,5,8
/blog/cimexa-bed-bug-review-canada,5,8
/blog/ecoraider-bed-bug-spray-review-canada,5,6
/blog/mosquito-fogger-canada,5,9
/blog/permethrin-canada-yard-clothing-spray,5,5
/blog/bed-bug-heat-treatment-diy-canada,4,4
/blog/bed-bug-heater-canada,4,5
/blog/bed-bug-interceptor-traps-canada,4,4
/blog/best-battery-backpack-sprayer-canada,4,6
/blog/best-mosquito-repellent-device-canada,4,4
/blog/best-sump-pump-for-basement-canada,4,4
/blog/raccoon-and-skunk-proofing-under-a-deck-canada,4,4
/blog/best-air-purifier-for-dust-mites-canada,3,5
/blog/best-bed-bug-detector-canada,3,10
/blog/best-bed-bug-spray-for-mattress-canada,3,3
/blog/best-bed-bug-spray-for-travel-canada,3,5
/blog/best-crawl-space-dehumidifier-canada,3,7
/blog/best-deer-fence-for-gardens-canada,3,4
/blog/best-dehumidifier-for-mold-canada,3,4
/blog/best-large-capacity-dehumidifier-canada,3,4
/blog/best-mouse-trap-canada,3,4
/blog/best-raccoon-live-trap-canada,3,8
/blog/best-yellow-jacket-trap-canada,3,3
/blog/bug-zappers-canada-do-they-work,3,3
/blog/crossfire-bed-bug-concentrate-review-canada,3,4
/blog/dupray-steamer-review-canada,3,3
/blog/horse-fly-and-deer-fly-bite-treatment,3,11
/blog/mouse-bait-station-canada,3,3
/blog/rodent-proof-compost-bin-canada,3,6
/blog/smells-mosquitoes-hate,3,3
/blog/bed-bug-stains-poop-droppings-canada,2,3
/blog/best-ant-traps-canada,2,2
/blog/best-bed-bug-fogger-canada,2,3
/blog/best-dehumidifier-for-basement-canada,2,3
/blog/best-flea-bomb-canada,2,3
/blog/best-live-animal-trap-canada,2,2
/blog/best-professional-mosquito-trap-canada,2,2
/blog/best-pump-pressure-sprayer-canada,2,2
/blog/best-raccoon-proof-roof-vent-covers-canada,2,3
/blog/best-solar-bug-zapper-canada,2,2
/blog/best-tick-repellent-yard-canada,2,3
/blog/best-wasp-trap-canada,2,3
/blog/best-whole-house-dehumidifier-canada,2,3
/blog/biogents-bg-mosquitaire-mosquito-trap-canada,2,2
/blog/black-flies-ontario-when-they-come-out,2,3
/blog/can-mosquitoes-bite-through-clothes,2,2
/blog/carpenter-ants-canada,2,4
/blog/cluster-flies-in-house-canada,2,3
/blog/co2-mosquito-trap-canada,2,2
/blog/do-bed-bug-sprays-actually-work,2,3
/blog/do-tiki-torches-repel-mosquitoes,2,3
/blog/how-to-get-rid-of-cockroaches-canada,2,2
/blog/how-to-get-rid-of-drain-flies-canada,2,6
/blog/how-to-get-rid-of-wasps-canada,2,2
/blog/mosquito-dunks-canada-guide,2,2
/blog/mosquito-magnet-canada,2,2
/blog/mosquito-repellent-for-dogs,2,3
/blog/mouse-proof-garage-door-seal-canada,2,4
/blog/natural-mosquito-repellent-ontario,2,2
/blog/packtite-portable-review-canada,2,3
/blog/picaridin-vs-deet,2,2
/blog/raccoon-deterrent-canada,2,2
/blog/rescue-why-trap-review-canada,2,2
/blog/battery-backup-sump-pump-canada,1,1
/blog/bed-bug-bites-vs-mosquito-bites,1,2
/blog/bed-bugs-on-the-ttc-toronto,1,4
/blog/best-ant-killer,1,1
/blog/best-bed-bug-box-spring-encasement-canada,1,1
/blog/best-bug-spray-for-kids-canada,1,2
/blog/best-cockroach-killer-canada,1,2
/blog/best-earwig-killer-canada,1,1
/blog/best-mosquito-trap-for-acreage-canada,1,1
/blog/best-patio-heater-canada,1,2
/blog/best-silverfish-traps,1,1
/blog/best-thermal-fogger-canada,1,1
/blog/best-upholstery-steam-cleaner-canada,1,1
/blog/black-flag-electric-fogger-review-canada,1,1
/blog/bug-protective-clothing-canada,1,1
/blog/chapin-battery-backpack-sprayer-review-canada,1,1
/blog/diatomaceous-earth-canada-buyers-guide,1,1
/blog/diy-outdoor-misting-system-kit-canada,1,1
/blog/doktor-doom-sleep-tight-review-canada,1,1
/blog/dupray-vs-mcculloch-steamer-canada,1,1
/blog/dynatrap-canada-review,1,1
/blog/field-king-backpack-sprayer-review-canada,1,1
/blog/flea-bites-on-humans,1,1
/blog/goodnature-a24-review-canada,1,1
/blog/harris-bed-bug-killer-review-canada,1,4
/blog/heat-vs-chemical-bed-bug-treatment-canada,1,1
/blog/how-to-get-rid-of-ants-canada,1,1
/blog/how-to-get-rid-of-carpenter-bees-canada,1,2
/blog/how-to-get-rid-of-carpet-beetles-canada,1,6
/blog/how-to-get-rid-of-fruit-flies,1,5
/blog/how-to-get-rid-of-fruit-flies-canada,1,2
/blog/how-to-get-rid-of-voles-canada,1,1
/blog/how-to-keep-spiders-out-of-your-house,1,1
/blog/katchy-indoor-insect-trap-review-canada,1,1
/blog/konk-bed-bug-killer-review-canada,1,1
/blog/mosquito-larvae-identification,1,1
/blog/no-see-ums-biting-midges-ontario,1,1
/blog/off-deep-woods-deet-bug-spray-canada,1,1
/blog/packtite-vs-zappbug-canada,1,1
/blog/pergola-mosquito-curtains-canada,1,2
/blog/propane-mosquito-trap-canada,1,1
/blog/propane-vs-electric-fogger-canada,1,1
/blog/rat-poison-canada-what-is-legal,1,1
/blog/rodent-exclusion-kit-canada,1,1
/blog/thermacell-canada-where-to-buy,1,1
/blog/thermacell-e90-canada-review,1,1
/blog/thermacell-refills-recharge-canada,1,1
/blog/thermal-vs-ulv-fogger-canada,1,1
/blog/thermalstrike-ranger-review-canada,1,1
/blog/traces-punaises-de-lit-matelas,1,1
/blog/ultrasonic-pest-repellers-do-they-work,1,1
/blog/what-ticks-look-like-ontario,1,1
/blog/when-are-mosquitoes-most-active,1,1
/blog/wondercide-canada-review,1,1
