query,market,position,volume,cpc_cad,kd,clicks_84d,impr_84d,intent_weight,position_proximity,current_page,priority_score
"bug zapper",US,16.67,26851,0.3,6,0,3,3,1,/blog/bug-zappers-canada-do-they-work,31416
"bed bug spray",US,15,21837,0.35,7,0,1,3,1,/blog/best-bed-bug-spray-for-mattress-canada,29808
"photon matrix",US,7.34,2700,0.8,0,64,5733,3,3,/blog/laser-mosquito-killer-photon-matrix-review,25272
"mouse poop",US,4,40368,0.1,7,0,2,1,3,/blog/what-does-mouse-poop-look-like-canada,15744
"mosquito larvae",US,11.48,19647,0.3,19,3,8139,1,2,/blog/mosquito-larvae-identification,15325
"mosquito dunks",US,4.54,17011,0.07,5,0,28,3,3,/blog/mosquito-dunks-canada-guide,13932
"dynatrap",US,4.77,5428,0.2,89,0,88,3,3,/blog/dynatrap-canada-review,12702
"best bug zapper",US,6,2371,0.45,0,0,2,3,3,/blog/bug-zappers-canada-do-they-work,12483
"photon matrix mosquito killer",US,8.81,1500,1,6,23,2650,3,2,/blog/laser-mosquito-killer-photon-matrix-review,11700
"mosquito magnet",US,5.14,3617,0.25,1,0,29,3,3,/blog/mosquito-magnet-canada,10580
"best air purifiers for allergies",CA,8.12,3300,0.5,19,0,4482,3,2,/blog/best-air-purifier-for-allergies-canada,9900
"best fruit fly trap",US,7,8040,0.1,2,0,3,3,3,/blog/best-fruit-fly-trap-canada,9407
"female mosquito",CA,10.02,1054,3.5,22,0,427,1,2,/blog/male-vs-female-mosquito,7378
"mouse poop",CA,6.71,4802,0.5,11,9,1465,1,3,/blog/what-does-mouse-poop-look-like-canada,7203
"best rat trap",US,9,2700,0.3,1,0,2,3,2,/blog/best-rat-trap-canada,6318
"advion cockroach gel bait",CA,8.13,3477,0.25,0,28,1705,3,2,/blog/advion-cockroach-gel-bait-canada,5216
"what time do mosquitoes come out",US,6.72,740,1.7,8,2,655,1,3,/blog/when-are-mosquitoes-most-active,4906
"mosquito repellent",CA,11.44,3171,0.25,41,3,2424,3,2,/blog/natural-mosquito-repellent-ontario,4757
"mosquito bits",CA,5.77,1516,0.25,1,363,12745,3,3,/blog/mosquito-bits-canada-vs-dunks,3411
"pest control etobicoke",CA,9.31,379,4,0,3,1709,1,2,/pest-control-etobicoke,3032
"pest control north york",CA,9.29,372,4,0,3,1501,1,2,/pest-control-north-york,2976
"mosquito dunks",CA,5.82,1476,0.2,2,23,2414,3,3,/blog/mosquito-dunks-canada-guide,2657
"what does a spider bite look like",US,11.64,33459,0.03,50,2,394,1,2,/blog/what-does-a-spider-bite-look-like,2610
"mosquito control",CA,15.46,1617,1.5,15,1,2023,1,1,/learn/how-to-combat-mosquitoes,2426
