url,clicks,impressions,position,actual_ctr,expected_ctr,ctr_residual,lost_clicks,intent,top_query,queries_seen,has_affiliate_link,word_count,benchmark_covers_position
/blog/when-are-mosquitoes-most-active,328,87483,5.6,0.375,2.08,-1.705,-1492,question,what time of day are mosquitoes most active,72,yes,6068,yes
/blog/how-many-times-can-a-mosquito-bite-you,294,56945,5.2,0.516,2.74,-2.224,-1266,question,how many times can a mosquito bite you,82,no,4399,yes
/blog/bugs-that-look-like-ticks,1222,139613,7.4,0.875,1.45,-0.575,-802,commercial,bugs that look like ticks,179,yes,6268,yes
/blog/mosquito-season-gta-when-does-it-start,273,37574,4.8,0.727,2.74,-2.013,-757,other,mosquito season ontario,34,yes,1692,yes
/blog/black-flies-ontario-when-they-come-out,1269,90033,6.3,1.409,2.08,-0.671,-604,other,black flies ontario,1234,yes,3358,yes
/blog/what-temperature-kills-mosquitoes,118,36534,6.5,0.323,1.45,-1.127,-412,other,at what temperature do mosquitoes die,24,no,8666,yes
/blog/how-long-does-mosquito-spray-last,113,24009,6.1,0.471,2.08,-1.609,-386,question,how long does mosquito spray last,12,yes,1846,yes
/blog/why-do-mosquito-bites-itch,82,41947,7.7,0.195,1.09,-0.895,-375,question,how long do mosquito bites last,18,no,5615,yes
/blog/mosquito-larvae-identification,171,62990,8.7,0.271,0.83,-0.559,-352,other,mosquito larvae,27,yes,7778,yes
/blog/do-cedar-trees-attract-mosquitoes,102,18365,6,0.555,2.08,-1.525,-280,question,do cedar trees attract mosquitoes,14,yes,2554,yes
/blog/horse-fly-and-deer-fly-bite-treatment,266,36491,7,0.729,1.45,-0.721,-263,other,deer fly bite,49,yes,2124,yes
/deadliest-animal-in-canada,177,20011,6.3,0.885,2.08,-1.195,-239,other,most dangerous animal in canada,28,no,2760,yes
/blog/how-long-do-ticks-live,65,27056,8,0.24,1.09,-0.85,-230,question,how long can ticks live in a house,17,no,4858,yes
/blog/why-do-mosquitoes-bite-my-ankles,44,12831,5.8,0.343,2.08,-1.737,-223,question,why do mosquitoes bite ankles,8,no,2383,yes
/pest-control-cost-canada,75,20130,6.9,0.373,1.45,-1.077,-217,commercial,how much does pest control cost,18,no,2592,yes
/blog/red-ticks-and-clover-mites,84,19821,6.7,0.424,1.45,-1.026,-203,other,red ticks,21,yes,3578,yes
/blog/best-wasp-nest-spray-canada,444,31021,6.2,1.431,2.08,-0.649,-201,commercial,wasp spray,1089,yes,8530,yes
/blog/deer-flies-horse-flies-ontario,96,19677,6.7,0.488,1.45,-0.962,-189,commercial,deer fly vs horse fly,29,yes,2110,yes
/blog/can-mosquitoes-bite-through-clothes,62,16963,6.7,0.366,1.45,-1.084,-184,question,can mosquitoes bite through clothes,7,yes,2323,yes
/blog/male-vs-female-mosquito,23,18964,8.3,0.121,1.09,-0.969,-184,commercial,male mosquito vs female,5,no,1600,yes
/blog/thermacell-canada-where-to-buy,53,28348,8.8,0.187,0.83,-0.643,-182,commercial,thermacell canadian tire,8,yes,3763,yes
/blog/can-ticks-fly-jump-swim,31,14013,7.6,0.221,1.09,-0.869,-122,question,can ticks swim,8,yes,1286,yes
/blog/ultrasonic-pest-repellers-do-they-work,95,19600,7.6,0.485,1.09,-0.605,-119,commercial,do ultrasonic pest repellers work,15,yes,1596,yes
/blog/mosquito-dunks-canada-guide,614,50407,7.2,1.218,1.45,-0.232,-117,commercial,mosquito dunks canada,89,yes,8177,yes
/,208,11822,5.2,1.759,2.74,-0.981,-116,other,mosquito control,597,no,1049,yes
/blog/is-mosquito-spray-safe-kids-pets,99,18758,7.8,0.528,1.09,-0.562,-105,other,mosquito spray for yard safe for dogs,11,yes,1889,yes
/blog/deer-tick-vs-dog-tick-canada,22,13548,9.1,0.162,0.83,-0.668,-90,commercial,deer tick vs dog tick,3,yes,2565,yes
/blog/smells-mosquitoes-hate,22,4098,5,0.537,2.74,-2.203,-90,other,scents that mosquitoes hate,8,yes,1539,yes
/blog/what-colors-attract-mosquitoes,23,10017,7.6,0.23,1.09,-0.86,-86,commercial,colours that attract mosquitoes,5,no,1383,yes
/blog/dynatrap-canada-review,284,33759,8.2,0.841,1.09,-0.249,-84,commercial,dynatrap,60,yes,8158,yes
/blog/do-tiki-torches-repel-mosquitoes,53,9373,6.8,0.565,1.45,-0.885,-83,commercial,do tiki torches keep mosquitoes away,10,yes,2431,yes
/blog/tick-vs-bed-bug,42,14402,8.5,0.292,0.83,-0.538,-78,commercial,tick vs bed bug,17,yes,6803,yes
/blog/tick-bite-vs-mosquito-bite,298,25837,6.5,1.153,1.45,-0.297,-77,commercial,tick bite vs mosquito bite,45,yes,2493,yes
/blog/flea-bites-on-humans,52,15384,9.4,0.338,0.83,-0.492,-76,commercial,what do flea bites look like,14,yes,7558,yes
/blog/mosquito-bite-vs-spider-bite,25,9048,8,0.276,1.09,-0.814,-74,commercial,spider bite vs mosquito bite,7,no,2087,yes
/blog/how-to-get-rid-of-ground-wasps-canada,966,49651,6.2,1.946,2.08,-0.134,-67,other,delta dust canada,174,yes,4623,yes
/blog/what-does-a-spider-bite-look-like,46,13513,8.6,0.34,0.83,-0.49,-66,question,what does a spider bite look like,13,no,8238,yes
/blog/do-ticks-die-in-the-washing-machine,13,3780,6.2,0.344,2.08,-1.736,-66,other,washing clothes with ticks,1,no,2338,yes
/blog/picaridin-vs-deet-canada,116,12320,6.7,0.942,1.45,-0.508,-63,commercial,picaridin insect repellent canada,21,PAGE-NOT-ON-DISK,,yes
/blog/what-blood-type-do-mosquitoes-bite,16,9474,9.2,0.169,0.83,-0.661,-63,other,which blood type do mosquitoes hate,5,yes,5542,yes
/blog/what-does-mouse-poop-look-like-canada,35,8427,7.6,0.415,1.09,-0.675,-57,other,mouse poop,7,yes,7768,yes
https://www.buzzskito.ca/blog/mosquito-season-gta-when-does-it-start,47,3689,4.8,1.274,2.74,-1.466,-54,question,when do mosquitoes come out ontario,7,PAGE-NOT-ON-DISK,,yes
/blog/best-air-purifier-for-allergies-canada,5,5391,8.4,0.093,1.09,-0.997,-54,commercial,best air purifiers for allergies,77,PAGE-NOT-ON-DISK,,yes
/blog/june-bugs-ontario,16,3211,6.3,0.498,2.08,-1.582,-51,other,june bug ontario,1,yes,2036,yes
/buzzskito-2026-gta-mosquito-tick-report,84,6370,6.3,1.319,2.08,-0.761,-48,other,ticks in toronto 2026,2,no,2529,yes
/blog/ultimate-tick-control-guide-ontario,147,17569,8.4,0.837,1.09,-0.253,-45,other,tick map ontario 2026,16,yes,2119,yes
/blog/natural-mosquito-repellent-ontario,114,19146,8.6,0.595,0.83,-0.235,-45,commercial,mosquito repellent,31,yes,2942,yes
/blog/what-eats-ticks-and-mosquitoes,13,5215,8.1,0.249,1.09,-0.841,-44,question,what eats ticks,4,yes,2404,yes
/blog/are-ticks-arachnids-or-insects,4,3293,7.1,0.121,1.45,-1.329,-44,question,are ticks arachnids,163,yes,1613,yes
/blog/how-to-get-rid-of-mice-canada,8,1823,4.9,0.439,2.74,-2.301,-42,other,vamoose to get rid of mice,1,yes,2960,yes
/blog/when-does-mosquito-season-start-toronto-2026,54,6462,7,0.836,1.45,-0.614,-40,other,toronto mosquitoes,1,no,1627,yes
/blog/baby-ticks-nymphs-seed-ticks-ontario,18,5286,7.9,0.341,1.09,-0.749,-40,other,baby tick,279,yes,1949,yes
/blog/ortho-home-defense-canada-review,34,5011,6.7,0.679,1.45,-0.771,-39,commercial,ortho home defense,8,yes,2261,yes
/blog/how-to-get-rid-of-centipedes-canada,33,8544,9.1,0.386,0.83,-0.444,-38,commercial,how to get rid of centipedes in house,7,yes,6212,yes
/blog/baby-bed-bugs-nymphs-canada,3,3766,7.6,0.08,1.09,-1.01,-38,other,baby bed bugs,183,PAGE-NOT-ON-DISK,,yes
/blog/no-see-ums-biting-midges-ontario,148,8303,6.3,1.782,2.08,-0.298,-25,other,noseeums,12,yes,1964,yes
/blog/best-fruit-fly-trap-canada,69,11361,8.8,0.607,0.83,-0.223,-25,commercial,best fruit fly trap,394,yes,8517,yes
/blog/off-deep-woods-deet-bug-spray-canada,9,2191,6.6,0.411,1.45,-1.039,-23,commercial,off family care vs deep woods,2,yes,2084,yes
/blog/bed-bug-shells-casings-shed-skins-canada,22,3997,7.9,0.55,1.09,-0.54,-22,other,bed bug shells,236,yes,4185,yes
/blog/katchy-indoor-insect-trap-review-canada,12,2316,7,0.518,1.45,-0.932,-22,commercial,katchy indoor trap,3,yes,3170,yes
/blog/lone-star-tick-alpha-gal-canada,8,2713,7.7,0.295,1.09,-0.795,-22,other,lone star tick canada,3,no,2634,yes
/blog/best-large-capacity-dehumidifier-canada,27,4434,8.4,0.609,1.09,-0.481,-21,commercial,best dehumidifier canada,206,yes,3528,yes
/blog/is-deet-safe,11,2938,7.9,0.374,1.09,-0.716,-21,commercial,why is deet banned,3,no,2492,yes
/lyme-disease-canada-statistics,55,6870,7.6,0.801,1.09,-0.289,-20,other,lyme disease map canada 2026,2,no,3009,yes
/blog/thermacell-refills-recharge-canada,15,3200,8.1,0.469,1.09,-0.621,-20,commercial,thermacell refills canada,2,yes,1859,yes
/blog/mosquito-magnet-vs-professional-spray,14,3053,7.5,0.459,1.09,-0.631,-19,other,mosquito magnet competitors,1,yes,1386,yes
/blog/why-do-mosquitoes-exist,0,1676,7.9,0,1.09,-1.09,-18,other,,0,no,2699,yes
/blog/do-fire-pits-repel-mosquitoes-canada,3,1383,6.9,0.217,1.45,-1.233,-17,other,,0,yes,3462,yes
/blog/thermacell-e90-canada-review,91,5124,6.2,1.776,2.08,-0.304,-16,commercial,thermacell e90,15,yes,2839,yes
/blog/mosquito-control-worth-the-cost,9,1717,7.1,0.524,1.45,-0.926,-16,other,,0,yes,1823,yes
/blog/doktor-doom-canada-guide,24,2674,6.8,0.898,1.45,-0.552,-15,commercial,doktor doom bed bug spray reviews,2,yes,4286,yes
/blog/citronella-candles-canada-do-they-work,13,2544,8,0.511,1.09,-0.579,-15,question,do citronella candles work,1,yes,2122,yes
/blog/what-percentage-of-ticks-carry-lyme-ontario,10,1216,6.1,0.822,2.08,-1.258,-15,question,what percentage of ticks carry lyme disease in southern ontario,2,no,2451,yes
/blog/west-nile-virus-ontario-2026,11,1202,6.3,0.915,2.08,-1.165,-14,other,,0,no,1578,yes
/blog/mosquito-repellent-for-dogs-canada,48,5572,7.9,0.861,1.09,-0.229,-13,commercial,mosquito repellent for dogs,14,PAGE-NOT-ON-DISK,,yes
/blog/flowtron-bug-zapper-canada,20,3061,7.7,0.653,1.09,-0.437,-13,commercial,flowtron bug zapper,6,yes,2819,yes
/blog/bed-bug-bites,25,10201,9.6,0.245,0.35,-0.105,-11,other,cdc bed bug bites appearance clusters lines,816,yes,3299,yes
/blog,1,3468,18,0.029,0.35,-0.321,-11,commercial,mosquito buzz,91,no,274,no
/pest-control-north-york,10,5702,13.3,0.175,0.35,-0.175,-10,other,pest control north york,2,no,2124,no
/tick-control,9,2315,9.2,0.389,0.83,-0.441,-10,other,commercial tick spray,2,no,1268,yes
/blog/mosquito-facts,5,1338,8,0.374,1.09,-0.716,-10,other,,0,yes,2015,yes
/blog/tick-season-ontario-when-are-ticks-active,43,4811,7.7,0.894,1.09,-0.196,-9,question,when do ticks go away in ontario,6,no,1289,yes
/blog/mouse-bait-station-canada,30,1895,5.5,1.583,2.08,-0.497,-9,commercial,mouse bait blocks canada,3,yes,2795,yes
/blog/best-live-animal-trap-canada,19,1932,7.1,0.983,1.45,-0.467,-9,commercial,wildlife traps,79,yes,3293,yes
/blog/mosquito-hawk-explained,5,3996,10.5,0.125,0.35,-0.225,-9,other,hawk fly,2,yes,6049,yes
/pest-control-etobicoke,5,3865,10.5,0.129,0.35,-0.221,-9,other,pest control etobicoke,1,no,2364,yes
/blog/i-found-tick-on-my-dog-what-to-do,4,639,5.8,0.626,2.08,-1.454,-9,other,,0,yes,1607,yes
/milton-mosquito-control,4,1165,8.4,0.343,1.09,-0.747,-9,other,milton mosquito control,1,no,1248,yes
/blog/what-flowers-attract-mosquitoes,2,722,7.3,0.277,1.45,-1.173,-8,other,,0,no,2619,yes
/blog/best-natural-bed-bug-spray-canada,46,3670,7.1,1.253,1.45,-0.197,-7,commercial,bed bug spray,475,yes,3644,yes
/blog/best-bug-spray-for-kids-canada,34,4942,8.9,0.688,0.83,-0.142,-7,commercial,best bug spray for kids,420,yes,1929,yes
/blog/bed-bug-bites-vs-mosquito-bites,26,3946,9.4,0.659,0.83,-0.171,-7,commercial,bed bug bites vs mosquito bites,295,yes,4519,yes
/blog/best-air-purifier-for-large-room-canada,17,1639,7,1.037,1.45,-0.413,-7,commercial,best air purifier canada,134,PAGE-NOT-ON-DISK,,yes
/brampton-tick-spray,17,1638,6.7,1.038,1.45,-0.412,-7,other,ticks in brampton,4,no,1953,yes
/buzzskito-history,6,629,5.7,0.954,2.08,-1.126,-7,other,,0,no,863,yes
https://www.buzzskito.ca/mississauga-mosquito-control,3,703,6.8,0.427,1.45,-1.023,-7,other,,0,PAGE-NOT-ON-DISK,,yes
/blog/mosquito-vs-diy-vs-professional-control,1,717,8.2,0.139,1.09,-0.951,-7,other,,0,yes,1091,yes
/blog/how-to-get-rid-of-fruit-flies-canada,40,5590,8.5,0.716,0.83,-0.114,-6,commercial,green gobbler fruit fly killer canadian tire,2,PAGE-NOT-ON-DISK,,yes
/blog/mosquito-repellent-bracelets-canada,34,3645,8,0.933,1.09,-0.157,-6,commercial,mosquito repellent bracelet canada,8,yes,2029,yes
/blog/ultimate-backyard-mosquito-control-guide,21,3251,8.6,0.646,0.83,-0.184,-6,commercial,mosquito spray for yard,4,yes,1759,yes
https://www.buzzskito.ca/brampton-tick-spray,4,372,4.9,1.075,2.74,-1.665,-6,other,ticks brampton,1,PAGE-NOT-ON-DISK,,yes
/pest-control-milton,1,1960,46.5,0.051,0.35,-0.299,-6,other,,0,no,1765,no
/blog/mosquito-magnet-vs-dynatrap-canada,22,1276,6,1.724,2.08,-0.356,-5,commercial,mosquito magnet,3,yes,3143,yes
/estate-property-mosquito-control,13,874,6.3,1.487,2.08,-0.593,-5,other,mosquito control for acreage,3,no,1637,yes
/golf-course-mosquito-control,6,540,6,1.111,2.08,-0.969,-5,question,do golf courses spray for mosquitoes,1,no,1190,yes
/blog/do-ticks-fly-or-jump,5,722,6.6,0.693,1.45,-0.757,-5,question,how far can ticks jump,2,yes,1509,yes
/home/f/mosquito-tick-control-calendar-the-best-times-to-spray-ontario,5,695,7.1,0.719,1.45,-0.731,-5,other,,0,PAGE-NOT-ON-DISK,,yes
/richmond-hill-tick-spray,5,879,8,0.569,1.09,-0.521,-5,other,ticks in richmond hill,1,no,985,yes
/blog/what-does-a-tick-bite-look-like,2,796,8.9,0.251,0.83,-0.579,-5,question,what a tick bite looks like,2,yes,3330,yes
/f/understanding-the-mosquito-problem-in-mississauga-and-the-gta,0,85,3.6,0,5.3,-5.3,-5,other,,0,PAGE-NOT-ON-DISK,,yes
