page_path,topic,tag,tag_known,page_default_tag,uses_tagForSlug,link_type,asin,search_term,anchor_text,position_index,words_before,pct_through,in_first_600_words,component
"/blog/advion-cockroach-gel-bait","roach","buzzskito-roach-20","true","buzzskito-roach-20","true","search","","combat roach killing bait stations","Combat roach killing bait stations (12-pack)","1","90","4","sticky","StickyBuyBar"
"/blog/advion-cockroach-gel-bait","roach","buzzskito-roach-20","true","buzzskito-roach-20","true","search","","combat roach killing bait stations","Check price on Amazon.ca →","2","1334","61","false","BuyLink"
"/blog/advion-cockroach-gel-bait","roach","buzzskito-roach-20","true","buzzskito-roach-20","true","search","","raid max roach bait stations","Check price on Amazon.ca →","3","1361","63","false","BuyLink"
"/blog/advion-cockroach-gel-bait","roach","buzzskito-roach-20","true","buzzskito-roach-20","true","search","","boric acid roach powder","Check price on Amazon.ca →","4","1390","64","false","BuyLink"
"/blog/advion-cockroach-gel-bait","roach","buzzskito-roach-20","true","buzzskito-roach-20","true","search","","diatomaceous earth crawling insect killer","Check price on Amazon.ca →","5","1411","65","false","BuyLink"
"/blog/advion-cockroach-gel-bait","roach","buzzskito-roach-20","true","buzzskito-roach-20","true","search","","cockroach glue traps monitor","Check price on Amazon.ca →","6","1434","66","false","BuyLink"
"/blog/american-dog-tick-canada","tick","buzzskito-tick-20","true","buzzskito-tick-20","true","search","","tick removal tool tweezers","Fine-Tipped Tick-Removal Tweezers / Tick Twister Tool","1","714","64","false","TopPick"
"/blog/american-dog-tick-canada","tick","buzzskito-tick-20","true","buzzskito-tick-20","true","search","","tick removal tool tweezers","Check tick-removal tools on Amazon.ca &rarr;","2","750","67","false","BuyLink"
"/blog/american-dog-tick-canada","tick","buzzskito-tick-20","true","buzzskito-tick-20","true","search","","tick removal tool tweezers","Fine-tipped tick-removal tool","3","1119","100","sticky","StickyBuyBar"
"/blog/are-there-ticks-in-canada","tick","buzzskito-tick-20","true","buzzskito-tick-20","false","search","","tick removal tool tweezers","Fine-Tip Tick Removal Tool","1","540","26","true","TopPick"
"/blog/are-there-ticks-in-canada","tick","buzzskito-tick-20","true","buzzskito-tick-20","false","search","","icaridin insect repellent","Check price on Amazon.ca &rarr;","2","1947","94","false","BuyLink"
"/blog/are-there-ticks-in-canada","tick","buzzskito-tick-20","true","buzzskito-tick-20","false","search","","insect shield permethrin treated clothing","Check price on Amazon.ca &rarr;","3","2036","98","false","BuyLink"
"/blog/are-there-ticks-in-canada","tick","buzzskito-tick-20","true","buzzskito-tick-20","false","search","","tick repellent","See tick repellents on Amazon.ca &rarr;","4","2040","98","false","BuyLink"
"/blog/are-there-ticks-in-canada","tick","buzzskito-tick-20","true","buzzskito-tick-20","false","search","","tick removal tool tweezers","Fine-tip tick removal tool","5","2081","100","sticky","StickyBuyBar"
"/blog/are-ticks-arachnids-or-insects","tick","buzzskito-tick-20","true","buzzskito-tick-20","true","search","","pocket magnifier 10x loupe","Check price on Amazon.ca &rarr;","1","451","38","true","BuyLink"
