asin,status,product_title,pages_using,tags_using,checked_at,note
B00004RAMT,available,"Havahart 1079SR Live Animal Professional-Style One-Door Raccoon, Groundhog, Opossum, and Stray Cat Cage Trap-Made in the USA","/blog/best-raccoon-live-trap-canada","buzzskito-wildlife-20",2026-09-23T02:46:11Z,"out_of_scope_bonus; a variant/offer shows ""Only N left""; availability=""In Stock | Only 1 left in stock."""
B004BAEF7E,available,"SafeRest Zippered Mattress Protector - Premium 9-12 Inch Waterproof Mattress Cover for Bed - Breathable & Noiseless Washable Mattress Encasement - Queen, White","/blog/bed-bug-mattress-encasement-canada","buzzskito-bedbug-20",2026-09-23T02:46:17Z,"out_of_scope_bonus; availability=""In Stock"""
B005UTKT0W,available,"Mosquito Dunks Organic 6/card","/blog/mosquito-dunks-canada-guide;/blog/mosquito-larvae-identification","buzzskito-mosquito-20",2026-09-23T02:46:23Z,"in_scope:top50; availability=""In Stock"""
B009F1R0GC,available,"Orbit 62100 Yard Motion Activated Sprinkler","/blog/motion-activated-sprinkler-canada;/blog/raccoon-deterrent","buzzskito-wildlife-20",2026-09-23T02:46:29Z,"in_scope:top50; a variant/offer shows ""Only N left""; availability=""In Stock | Only 1 left in stock."""
B00BPTN6YC,available,"Rescue WHYTR-BB8 Wasp Hornet & Yellow Jacket Trap","/blog/best-wasp-trap;/blog/how-to-get-rid-of-wasps-canada","buzzskito-wasp-20",2026-09-23T02:46:35Z,"out_of_scope_bonus; LOW STOCK: only a few units left; re-check before season; availability=""Only 1 left in stock."""
B00F6EV306,available,"ZappBug Heater Bed Bug Killer with Real Reviews Time-Tested Excellent Customer Service","/blog/best-bed-bug-heat-chamber-canada;/blog/zappbug-heater-review-canada","buzzskito-bedbug-20",2026-09-23T02:46:41Z,"out_of_scope_bonus; availability=""In Stock"""
B00JU5G1PY,available,"The ZappBug Oven 2 XL kill more bed bugs in larger items with heat | Real Reviews | Time-Tested | Excellent Customer Service","/blog/bed-bug-heater-canada","buzzskito-bedbug-20",2026-09-23T02:46:47Z,"out_of_scope_bonus; availability=""In Stock"""
B00LM93R58,available,"Wilson ONE Shot Wasp Spray Foam & Hornet Killer, Long-Reach Jet, 425 g","/blog/how-to-get-rid-of-ground-wasps-canada","buzzskito-wasp-20",2026-09-23T02:46:53Z,"out_of_scope_bonus; availability=""In Stock"""
B012ODWW7Y,available,"Tomcat Rat Killer Bait Station Advanced Formula 1 x 113g","/blog/rat-poison-canada-what-is-legal","buzzskito-rodent-20",2026-09-23T02:46:59Z,"out_of_scope_bonus; availability=""In Stock"""
B014H8NZ7U,available,"TERRO Liquid Ant Bait Stations T300CAN - Liquid Bait to Eliminate Ants - Bait System - 6 Count Stations for Effective Indoor Ant Control","/blog/best-ant-killer","buzzskito-ant-20",2026-09-23T02:47:05Z,"in_scope:deadtag; availability=""In Stock"""
B01EXES2SK,available,"The Executioner Wasp, Bug, & Mosquito Swatter Zapper","/blog/electric-fly-swatter","buzzskito-general-20",2026-09-23T02:47:10Z,"out_of_scope_bonus; availability=""In Stock"""
B075DKL3Z6,available,"TickCheck Premium Tick Remover Kit - Stainless Steel Tick Remover + Tweezers, Leather Case, and Free Pocket Tick Identification Card (1)","/blog/tick-bite-vs-mosquito-bite","buzzskito-tick-20",2026-09-23T02:47:16Z,"in_scope:top50; availability=""In Stock"""
B07B6RZP4H,unavailable,"Katchy Fruit Fly Trap - Indoor Mosquito, Gnat, Insect Trap w/UV Light & Suction Fan - Manual, Non-Zapper Insect Catcher Traps for Bug-Free Home - 5 X 8.8 Inches (Black)","/blog/best-indoor-fly-mosquito-trap-canada","buzzskito-mosquito-20",2026-09-23T02:47:22Z,"out_of_scope_bonus; HTTP 200, no add-to-cart / buy-now button; no featured offer (unqualifiedBuyBox); only a ""See All Buying Options"" link; replacement: convert to search link: katchy indoor insect trap (safest, keeps the Katchy recommendation) — or, if the owner accepts pointing at the Duo model, B08Y65R582 Katchy Duo (verified live 2026-09-23, buy box present) / B08TKG5M4S Katchy Duo (verified live, only 3 left). Katchy Original white B07M8VX4T9 is ALSO dead on amazon.ca."
B07CGRLRNV,available,"KONK Bed Bug Killer","/blog/konk-bed-bug-killer-review-canada","buzzskito-bedbug-20",2026-09-23T02:47:28Z,"out_of_scope_bonus; availability=""In Stock"""
B07QFNSC8Z,available,"Mosquito Magnet MM3300B Executive Mosquito Trap and Killer - Protect Up to 1 Acre - Attract, Trap and Kill Mosquitoes and Other Flying Insects","/blog/laser-mosquito-killer-photon-matrix-review","buzzskito-mosquito-20",2026-09-23T02:47:34Z,"in_scope:top50; availability=""In Stock"""
B07QJY2NL1,available,"Mosquito Magnet MM4202B Patriot Plus Mosquito and Flying Insect Trap and Killer - Protects Up to 1 Acre","/blog/best-mosquito-trap;/blog/mosquito-magnet-canada","buzzskito-mosquito-20",2026-09-23T02:47:39Z,"in_scope:top50; availability=""Usually ships within 3 to 5 days"""
B097JH2HDH,available,"ALORAIR Basement/Crawl Space Dehumidifiers Removal 120 PPD (Saturation), 55 Pint Commercial Dehumidifier, Auto Defrosting, cETL, Optional Remote Monitoring","/blog/best-crawl-space-dehumidifier-canada","buzzskito-dehumidifier-20",2026-09-23T02:47:45Z,"in_scope:deadtag; availability=""In Stock"""
B0BYFF3S3V,available,"Natrapel Icaridin Insect Repellent 100mL, Picaridin Bug Spray for Mosquitoes & Ticks","/blog/mosquito-repellent-guide-ontario-2026","buzzskito-mosquito-20",2026-09-23T02:47:51Z,"in_scope:top50; availability=""In Stock"""
B0CQ8RSTC9,available,"Victor M150-12 Metal Pedal Sustainably Sourced FSC Wood Snap Mouse Trap - 12 Traps","/blog/what-does-mouse-poop-look-like-canada","buzzskito-rodent-20",2026-09-23T02:47:57Z,"out_of_scope_bonus; availability=""In Stock"""
B0CWQ3G2RB,available,"OFF! Botanicals DEET-Free Insect Repellent Lotion, Eucalyptus, 142g","/blog/natural-mosquito-repellent-ontario","buzzskito-mosquito-20",2026-09-23T02:48:02Z,"out_of_scope_bonus; availability=""In Stock"""
B0CXV32GKD,available,"Doktor Doom Pro Max Spider Killer Plus, 1L","/blog/best-spider-spray-canada","buzzskito-general-20",2026-09-23T02:48:08Z,"out_of_scope_bonus; availability=""In Stock"""
B0D2PFS1WZ,available,"Doktor Doom Sleep Tight Bed Bug Killer II, 515g","/blog/bed-bug-spray-canada","buzzskito-bedbug-20",2026-09-23T02:48:14Z,"in_scope:top50; availability=""In Stock"""
B0D4DTM25H,available,"Tick Twister 3-Pack Tick Removal Tools","/blog/tick-removal-tool-guide","buzzskito-tick-20",2026-09-23T02:48:19Z,"out_of_scope_bonus; availability=""In Stock"""
B0GBY8KXFY,available,"Cortizone-10 Soothing Aloe Itch Relief Cream, 1% Hydrocortisone, 56g","/blog/horse-fly-and-deer-fly-bite-treatment","buzzskito-flies-20",2026-09-23T02:48:25Z,"in_scope:deadtag; availability=""In Stock"""
B0GL7Y575V,available,"Midea Cube Dehumidifier for Basement, Smart Control, ENERGY STAR 50 Pint","/blog/best-large-capacity-dehumidifier-canada","buzzskito-dehumidifier-20",2026-09-23T02:48:31Z,"in_scope:deadtag; LOW STOCK: only a few units left; re-check before season; availability=""Only 4 left in stock. | Only 1 left in stock."""
