rank,target_query,secondary_queries,gsc_impressions_90d,gsc_clicks_90d,current_best_position,current_page_if_any,kd,intent,suggested_slug,suggested_h1,product_types_to_recommend,tag,priority_score,canadian_angle,year_round,status,kd_proxy_basis,serp_top_results_ca,gap_vs_top_3,expected_affiliate_earnings_note
"1","cockroach gel bait canada","cockroach gel bait (972@11.2); roach gel bait canada (245@7.8); best cockroach killer gel canada (181@6.3); cockroach gel (148@11.9); roach gel bait (103@11.9); gel bait cockroach (72); gel bait for roaches (68); cockroach bait gel (62); cockroach bait canada (60); cockroach bait gel canada (53); best cockroach gel bait canada (50); gel bait for roaches canada (47); roach bait canada (47); cockroach gel canada (45); roach gel canada (45); 145 more long-tail rows","3563","45","7.1 (cockroach gel bait canada); cluster impression-weighted 9.4","/blog/advion-cockroach-gel-bait (GSC URL still advion-cockroach-gel-bait-canada; title 'Advion Cockroach Gel Bait Canada: 2026 Legality') catches the whole cluster at 7-12; best-cockroach-spray-canada catches 'best cockroach killer gel canada' at 8.1; best-cockroach-killer-canada (added 2026-08-31) has 0 impressions so far","n/a - Ahrefs key exhausted (99,996/100,000 units, resets 2026-09-26); 4-keyword overview call needed 84 units and was refused","commercial: buyer wants a gel bait they can actually buy and legally use in Canada; the page they land on today is a legality explainer about one product that is NOT registered","best-cockroach-gel-bait","Cockroach Gel Bait Canada: What's Registered","PMRA-registered domestic-class cockroach gel baits and enclosed bait stations sold on amazon.ca (verify every PCP number in the Health Canada Pesticide Product Information Database before naming one as registered; do not list Advion/Maxforce/Seclira/Vanecto commercial-class as consumer buys); bait applicator syringe; glue-board monitors; caulk for harbourage sealing","buzzskito-roach-20","83.4","Advion is the term people search but it is not registered in Canada; the page answers 'so what CAN I buy' with PCP numbers, domestic vs commercial class under the Pest Control Products Act, Ontario Pesticides Act class rules, and why importing US-labelled stock is an offence. Head query carries 'canada' explicitly (703 imp).","yes (indoor, apartments; German cockroach demand peaks in heating season)","pilot","GSC: site already ranks 7-12 for the head terms with the wrong page, so proxy KD=10","Perla Store gel-bait comparison; Viceroy Distributors (Seclira, commercial); buzzskito Advion legality page (#3); Syngenta PMP; Gardex (Vanecto registration news); Veseris pro distributor; bugdomik grey-market import page; Formula Canada cleaning supply","Top results are either pro distributors (commercial class only), a grey-market importer, or our own legality explainer. None lists the domestic-class gel baits a homeowner can lawfully buy with their PCP numbers, or explains domestic vs commercial class. That is the page.","Best case ~40 visits/mo (Advion page does ~86/mo from 12.9K imp); at ~15-20% Amazon click-out and $0.15/click this is roughly $1-3/mo. Cannibalization risk with the Advion page is real - alternative is to expand the Advion page's 'Compliant Toolkit' section instead of a new URL."
"2","german cockroach","how to get rid of german cockroaches canada (23@7.3); german cockroach gel bait (14@8.6); german cockroaches (14@2.6); german cockroach control (11@19.3); german cockroach pest control (10@16.9); german cockroaches pest control (10@17.6); german cockroach killer (9@11.4); german roaches (9); pest control for german roaches (9); german cockroach bait (6); german roach (6); german cockroach canada (5); 36 more rows","366","1","2.2 for 'german cockroach' with 0 clicks in 177 imp (almost certainly an image/PAA-type impression, not a blue link); 7.3 for the get-rid query","/blog/how-to-get-rid-of-cockroaches-canada catches 'german cockroach' at 2.1 (0 clicks) and the get-rid query at 7.4; best-cockroach-spray-canada catches 'german cockroach killer/spray' at 9-11","n/a - Ahrefs unavailable this session (see rank 1)","informational-to-commercial: identify the small brown roach in the kitchen and run a program that works on the species that resists sprays","how-to-get-rid-of-german-cockroaches","German Cockroaches in Canada: How to Get Rid","PMRA-registered gel bait (same verified list as rank 1); enclosed bait stations; glue-board monitors for counting; HEPA vacuum; caulk/sealant; no IGR recommendation unless a domestic-class IGR is confirmed registered (the Advion page currently states the consumer playbook is IGR-free - keep the claim consistent or verify)","buzzskito-roach-20","8.6","German cockroach is the apartment/condo species in the GTA; building-wide problem, Ontario landlord obligation to treat (verify against the RTA before asserting), spray resistance, and which baits are registered for domestic use in Canada. Query set includes 'canada' variants.","yes","pilot","GSC: get-rid query already at 7.3 on a generic page; proxy KD=10 (the 2.2 position is an artifact and was not used)","Rentokil/Terminix Canada; Orkin Canada pest identifier; Poulin's; Truly Nolen x2; buzzskito how-to page (#6); Greenshield; BP Pest Control; Health Canada cockroach tips","Every top result is a pest company page that ends in 'call us'; Health Canada's page is generic. None gives a compliant DIY bait program naming products actually registered in Canada, or explains why the German species specifically defeats sprays. Existing how-to page has a species section but is titled and built for the generic query.","Modest: 366 imp/quarter; if CTR reached 3% that is ~4 visits/mo. Under $1/mo on affiliate. Value is mostly in owning the species term and feeding internal links to rank 1."
"3","bed bug heat treatment cost toronto","bed bug heat treatment (159@25.0); heat treatment for bed bugs (82@11.4); bed bug heat treatment cost (55@12.7); bed bug heat treatment toronto cost (42@12.6); bed bugs heat treatment (36@21.2); bed bug heat treatment brampton (22@19.3); bed bug heat treatment toronto (20@1.0); bedbug heat treatments (13); bed bug heat treatment preparation (7@49.6); bed bug professional heat treatment (1@35); + ~23 imp on 'bedbug' spelling variants","545","0","11.4 (heat treatment for bed bugs); 1.0 on 'bed bug heat treatment toronto' via /pest-control-cost-canada; cluster impression-weighted 16.9","/blog/bed-bug-heat-treatment-diy-canada (title 'DIY Bed Bug Heat Treatment Canada: 50C, 60 Min') catches the head term at 25.0 and 'heat treatment for bed bugs' at 11.5; /blog/bed-bug-treatment-cost-canada catches the cost variants at 12-14; /pest-control-cost-canada catches the Toronto variants at 1-11","n/a - Ahrefs unavailable this session","commercial-service: person wants to know what a professional whole-home heat treatment costs in the GTA, how it works, and how to prepare - not how to do it themselves","bed-bug-heat-treatment-cost","Bed Bug Heat Treatment in Toronto: Cost & Prep","Prep-checklist products: mattress + box-spring encasements, interceptor cups, HEPA vacuum, portable heat chamber for items the pro will not treat, sealable bags/bins, laundry bags. Referral CTA to a vetted heat-treatment provider if the Pest Empire referral model has one (unmeasured today).","buzzskito-bedbug-20","8.1","Toronto/GTA price bands (competitor pages quote $1,000-2,500 whole-home - cite as third-party ranges, never as our own quote); Ontario tenant vs landlord responsibility (verify against the Residential Tenancies Act / LTB before asserting); Toronto Public Health prep guidance; BuzzSkito does NOT perform bed bug heat treatment - say so plainly.","yes (indoor; heating-season peak Dec-Feb)","pilot","GSC: cluster weighted position 16.9 across three non-purpose-built pages; proxy KD=20","torontomike.com listicle; Armour Pest Control guide; Pestline; bedbugsheaterrentals.ca cost page; Bugs Heat Terminator; bedbugsexterminators.ca; corptocorp.org; pestagent.ca cost page; thebesttoronto.com","All top results are vendors quoting their own price or 'best exterminator' lists. None is an independent explainer covering who pays under Ontario tenancy law, a prep checklist with products, and when heat is the wrong tool (per our heat-vs-chemical page). Intent is strongly service-commercial, so without a referral partner the affiliate yield will look like the existing cost page (937 imp -> 1 click).","Existing cost page converts 937 imp into 1 click per quarter - expect the same shape. Affiliate value under $1/mo; the case for this page is a referral lead, which is unmeasured. Build only if a referral CTA exists."
"4","cockroach exterminator cost ontario","cockroach control (170@16.6); cockroach removal (57@16.7); cockroach treatment (50@18.0); cockroaches control (41@15.3); roach control (37@17.8); treatment for cockroaches (21@18.0); roaches treatment (19@16.4); cockroach infestation treatment (17@19.6); cockroach pest treatment (14); pest control cockroach (14); roach pest control (14); best exterminator for roaches (10); best roach exterminator (8); roach pest control cost (8@30.4); what do professional pest control use for roaches (8@10.1); cockroach fumigation (7@33.6); cockroach exterminator price (6@29.3); fumigation for roaches (6); roaches exterminator cost (5@31); 51 more rows","617","1","15.3 (cockroaches control); cluster impression-weighted 17.2; city variants (georgetown 120, milton 22) excluded - they land on city pages","/blog/how-to-get-rid-of-cockroaches-canada (title 'Get Rid of Cockroaches Canada: Bait, Not Spray') catches 'cockroach control' at 16.6 and 'cockroach removal/treatment' at 17-34; /pest-control-cost-canada catches 'cockroach exterminator price/toronto cost' at 19-29","n/a - Ahrefs unavailable this session","commercial-service: what does professional cockroach treatment cost in Ontario, what do the pros actually use, and when is DIY bait genuinely cheaper","cockroach-exterminator-cost","Cockroach Exterminator Cost in Ontario (2026)","Registered gel bait + bait stations (verified list from rank 1) as the DIY comparison; glue monitors; caulk and door sweeps for exclusion. Referral CTA if a partner exists.","buzzskito-roach-20","7.2","Ontario HST on quotes; GTA price bands from HomeStars/saniiq/pesterminate (cite as third-party 2026 ranges); German-roach programs are 2-4 visits; apartment/condo shared-wall problem and Ontario landlord obligation (verify against RTA); commercial-class products the pro uses that a homeowner cannot buy (ties to rank 1). BuzzSkito does not treat cockroaches - say so.","yes","pilot","GSC: cluster weighted position 17.2 on a DIY-framed page; proxy KD=20","HomeStars 2026 price guide; pesterminate.ca; saniiq.com x2 (Ontario + Toronto 2026 guides); bestpest.ca; pestline.ca; pestquotes.ca; provincialpestcontrol.ca x2","Crowded with 2026 price guides from vendors and lead-gen sites. The only defensible angle is 'what the pro uses vs what you can legally buy' (a real query: 'what do pest control companies use for roaches'), which ties directly to rank 1. Without that angle it is a me-too price page.","Same shape as the bed bug cost page: high impressions, near-zero clicks, near-zero affiliate. Under $1/mo. Referral value unmeasured."
"reserve","cockroaches in canada (types / ID)","canada cockroach (46@9.6); cockroaches in canada (25@12.9); roaches in canada (24@12.0); cockroach canada (20@13.2); house cockroach canada (10@9.6); cockroaches canada (8); canadian cockroach (3@2.3); are there cockroaches in canada (2); what does a cockroach look like in ontario (2@2)","164","0","9.6","/blog/how-to-get-rid-of-cockroaches-canada catches most at 9-13","n/a","informational ID: which species live in Canada and which one is in my kitchen","cockroaches-in-canada","Cockroaches in Canada: The 4 You'll Actually See","glue monitors only; hand off to rank 1 / rank 2 for products","buzzskito-roach-20","3.8","Species present in Ontario vs not; German = indoor apartment species; Health Canada ID guidance","yes","reserve - below the 200-impression bar on its own; fold an ID section into rank 2 instead of a separate page","GSC wpos 10.5 -> proxy 10","not checked (below bar)","-","Below bar."
"reserve","bed bug repellent","bed bug repellent (54@17.5); natural bed bug repellent (24@9.0); bed bug repellent spray (8@14); best bed bug repellent (4); bed bug deterrent (3@24); bed bug prevention spray (3@25); 28 more rows","140","0","4.5","/blog/what-kills-bed-bugs-instantly-canada and /blog/best-natural-bed-bug-spray-canada catch fragments at 9-24","n/a","commercial but built on a false premise (no registered product repels bed bugs) - a page would mostly have to say 'this does not exist; here is what prevention actually is'","bed-bug-repellent","Bed Bug Repellent: Why It Doesn't Exist","encasements, interceptors, travel heater/luggage liner as the honest 'prevention' products","buzzskito-bedbug-20","2.8","PMRA has no registered bed bug repellent for skin/bedding; Health Canada travel guidance","yes","reserve - below bar","GSC wpos 13.6 -> proxy 15","not checked","-","Below bar; regulatory-claim heavy (rule 7)."
"reserve","combat / maxforce / roach doctor gel canada","combat roach gel canada (21@8.3); doktor doom cockroach spray (17@10.1); roach doctor cockroach gel canada (14@1.3); roach doctor (10@5.0); maxforce roach gel canada (8@4.0); roach doctor cockroach gel (7@4.7); combat max roach killing gel canada (4); 41 more rows","155","7","1.3","Advion page and best-cockroach-spray-canada catch these at 1-11","n/a","brand-availability lookups","(fold into rank 1)","-","-","buzzskito-roach-20","7.3","Which of these brands hold a Canadian PCP number and in which class","yes","reserve - fold into rank 1 as a brand-by-brand registration table rather than a page","GSC wpos 5.4 -> proxy 5","not checked","-","Fold into rank 1."
"reserve","advion ant gel canada","advion ant gel (58@3.5); advion ant gel bait canada (28@7.2); advion fire ant bait canada (9); advion ant gel canada where to buy (6@1.8); where to buy advion ant gel in canada (5); + ~20 small rows","~300","4","1.8","/blog/advion-cockroach-gel-bait catches it at 3.7","n/a","commercial, ANT topic - outside the three money topics in this brief","(out of scope - ant)","-","-","(ant tag)","-","Same legality story as the cockroach gel; registered ant baits in Canada","yes","reserve - out of topic, noted because it clears the demand bar","-","not checked","-","Out of scope for this phase; flag to the ant cluster owner."
"reserve","bed bug bites (existing page, improve not build)","bed bug bites (132@20.9); bed bug bite (24@19.9); how long do bed bug bites last (15@8.8); bed bugs bites (14@17.7); how long for bed bug bites to appear (14@10.9); what do bed bug bites look like (14@7.9); stages of bed bug bites (13@25.6); 288 more rows","710","1","7.9","/blog/bed-bug-bites (title 'Bed Bug Bites Canada: 3-5 in a Line, 14-Day Lag') is purpose-built and sits at 15-21","n/a","informational","(existing: bed-bug-bites)","-","-","buzzskito-bedbug-20","-","-","yes","reserve - existing purpose-built page; this is a title/CTR/internal-link fix, not a new page","-","-","-","Not a new page."
"reserve","bed bug treatment cost (existing page, improve not build)","bed bug treatment cost (176@11.9); bed bug treatment cost ontario (110@9.5); bed bug treatment cost toronto (63@12.8); bed bug exterminator toronto cost (61@16.4); cost of bed bug treatment (40); bed bug exterminator cost (36); bed bug fumigation cost (31); 120 more rows","937","1","9.5","/blog/bed-bug-treatment-cost-canada is purpose-built, pos 11.6 weighted; converts 937 imp to 1 click","n/a","commercial-service","(existing: bed-bug-treatment-cost-canada)","-","-","buzzskito-bedbug-20","-","-","yes","reserve - existing page; evidence that cost pages do not produce affiliate clicks here (informs ranks 3-4)","-","-","-","Not a new page."
